ID,Name,Progression,3DIcon
1,Short Sword,0,ICON3D_WP_ADOL_000
2,Long Sword,0,ICON3D_WP_ADOL_001
3,Defender,0,ICON3D_WP_ADOL_002
4,Liberacion,0,ICON3D_WP_ADOL_003
5,Dunamis Edge,0,ICON3D_WP_ADOL_004
6,Vorpal Blade,0,ICON3D_WP_ADOL_005
7,Dainsleif,0,ICON3D_WP_ADOL_006
8,Hyperion Blade,0,ICON3D_WP_ADOL_007
9,Mistilteinn,0,ICON3D_WP_ADOL_008
10,Rusted Sword,0,ICON3D_WP_ADOL_009
11,----剣----,0,ICON3D_WP_ADOL_010
12,Isios Blade,0,ICON3D_WP_ADOL_011
13,Spirit Ring Celesdia,0,ICON3D_WP_DANA_005
14,----剣----,0,ICON3D_WP_ADOL_xxx2
15,Short Sword,0,ICON3D_WP_ADOL_100
16,Long Sword,0,ICON3D_WP_ADOL_101
17,Defender,0,ICON3D_WP_ADOL_102
18,Liberacion,0,ICON3D_WP_ADOL_103
19,Dunamis Edge,0,ICON3D_WP_ADOL_104
20,Vorpal Blade,0,ICON3D_WP_ADOL_105
21,Dainsleif,0,ICON3D_WP_ADOL_106
22,Hyperion Blade,0,ICON3D_WP_ADOL_107
23,Short Sword,0,ICON3D_WP_ADOL_200
24,Long Sword,0,ICON3D_WP_ADOL_201
25,Defender,0,ICON3D_WP_ADOL_202
26,Liberacion,0,ICON3D_WP_ADOL_203
27,Dunamis Edge,0,ICON3D_WP_ADOL_204
28,Vorpal Blade,0,ICON3D_WP_ADOL_205
29,Dainsleif,0,ICON3D_WP_ADOL_206
30,Hyperion Blade,0,ICON3D_WP_ADOL_207
31,Rapier,0,ICON3D_WP_LAXIA_000
32,Foil,0,ICON3D_WP_LAXIA_001
33,Flamberge,0,ICON3D_WP_LAXIA_002
34,Grand Saber,0,ICON3D_WP_LAXIA_003
35,Belladonna,0,ICON3D_WP_LAXIA_004
36,Gordes Fencer,0,ICON3D_WP_LAXIA_005
37,Arondight,0,ICON3D_WP_LAXIA_006
38,Mercurius Blade,0,ICON3D_WP_LAXIA_007
39,Rapier,0,ICON3D_WP_LAXIA_100
40,Foil,0,ICON3D_WP_LAXIA_101
41,Flamberge,0,ICON3D_WP_LAXIA_102
42,Grand Saber,0,ICON3D_WP_LAXIA_103
43,Belladonna,0,ICON3D_WP_LAXIA_104
44,Gordes Fencer,0,ICON3D_WP_LAXIA_105
45,Arondight,0,ICON3D_WP_LAXIA_106
46,Mercurius Blade,0,ICON3D_WP_LAXIA_107
47,Rapier,0,ICON3D_WP_LAXIA_200
48,Foil,0,ICON3D_WP_LAXIA_201
49,Flamberge,0,ICON3D_WP_LAXIA_202
50,Grand Saber,0,ICON3D_WP_LAXIA_203
51,Belladonna,0,ICON3D_WP_LAXIA_204
52,Gordes Fencer,0,ICON3D_WP_LAXIA_205
53,Arondight,0,ICON3D_WP_LAXIA_206
54,Mercurius Blade,0,ICON3D_WP_LAXIA_207
55,Heavy Anchor,0,ICON3D_WP_SAHAD_000
56,Iron Knocker,0,ICON3D_WP_SAHAD_001
57,War Hammer,0,ICON3D_WP_SAHAD_002
58,Axle Breaker,0,ICON3D_WP_SAHAD_003
59,Gratton Tail,0,ICON3D_WP_SAHAD_004
60,Gigantex,0,ICON3D_WP_SAHAD_005
61,Glamdring,0,ICON3D_WP_SAHAD_006
62,Leviathan Axe,0,ICON3D_WP_SAHAD_007
63,Heavy Anchor,0,ICON3D_WP_SAHAD_100
64,Iron Knocker,0,ICON3D_WP_SAHAD_101
65,War Hammer,0,ICON3D_WP_SAHAD_102
66,Axle Breaker,0,ICON3D_WP_SAHAD_103
67,Gratton Tail,0,ICON3D_WP_SAHAD_104
68,Gigantex,0,ICON3D_WP_SAHAD_105
69,Glamdring,0,ICON3D_WP_SAHAD_106
70,Leviathan Axe,0,ICON3D_WP_SAHAD_107
71,Heavy Anchor,0,ICON3D_WP_SAHAD_200
72,Iron Knocker,0,ICON3D_WP_SAHAD_201
73,War Hammer,0,ICON3D_WP_SAHAD_202
74,Axle Breaker,0,ICON3D_WP_SAHAD_203
75,Gratton Tail,0,ICON3D_WP_SAHAD_204
76,Gigantex,0,ICON3D_WP_SAHAD_205
77,Glamdring,0,ICON3D_WP_SAHAD_206
78,Leviathan Axe,0,ICON3D_WP_SAHAD_207
79,Blade Rifle,0,ICON3D_WP_HUMMEL_000
80,Beast Sniper,0,ICON3D_WP_HUMMEL_001
81,Grim Reaper,0,ICON3D_WP_HUMMEL_002
82,Fury Python,0,ICON3D_WP_HUMMEL_003
83,Dark Rhetoric,0,ICON3D_WP_HUMMEL_004
84,Apocalypse,0,ICON3D_WP_HUMMEL_005
85,Saintly Force,0,ICON3D_WP_HUMMEL_006
86,Blade Rifle,0,ICON3D_WP_HUMMEL_100
87,Beast Sniper,0,ICON3D_WP_HUMMEL_101
88,Grim Reaper,0,ICON3D_WP_HUMMEL_102
89,Fury Python,0,ICON3D_WP_HUMMEL_103
90,Dark Rhetoric,0,ICON3D_WP_HUMMEL_104
